Rk,team_id,School,Conference,AP Rank,W,L,OSRS,DSRS,SRS,Off_Score,Def_Score,Off_Pass,Def_Pass,Off_Rush,Def_Rush,Off_Total,Def_Total
1,2.0,Air Force,Mountain West Conference,,9,4,-1.51,4.75,3.25,39.95,7.21,11.89,5.71,5.97,2.27,6.77,3.97
2,3.0,Akron,Mid-American Conference,,2,10,-11.93,-6.71,-18.64,26.25,20.54,6.37,6.18,3.64,3.38,5.14,4.65
3,5.0,Alabama,Southeastern Conference,5.0,12,2,8.41,9.75,18.16,52.89,-1.54,11.5,4.08,5.88,2.19,7.88,3.15
4,8.0,Appalachian State,Sun Belt Conference,,9,5,7.47,-4.33,3.14,46.31,16.0,9.36,5.48,5.79,3.97,7.37,4.72
5,10.0,Arizona,Pacific 12 Conference,11.0,10,3,8.33,5.48,13.8,50.88,4.0,10.69,5.15,5.75,2.69,8.35,3.85
6,9.0,Arizona State,Pacific 12 Conference,,3,9,-6.01,2.03,-3.98,34.9,11.55,7.73,5.35,4.9,3.06,6.35,4.08
7,11.0,Arkansas,Southeastern Conference,,4,8,0.81,-0.61,0.2,42.87,11.32,8.66,5.45,4.68,3.22,6.3,4.21
8,12.0,Arkansas State,Sun Belt Conference,,6,7,-2.87,0.13,-2.74,37.7,16.58,9.0,6.45,5.21,3.56,6.87,4.92
9,,Army,,,6,6,-8.22,4.29,-3.94,32.47,9.74,8.63,5.69,5.37,3.69,6.03,4.75
10,14.0,Auburn,Southeastern Conference,,6,7,-1.93,5.94,4.01,42.06,3.55,8.46,5.0,6.02,3.03,6.93,3.91
11,17.0,Ball State,Mid-American Conference,,4,8,-11.49,0.75,-10.74,29.01,13.5,6.4,5.84,5.25,2.59,5.65,4.25
12,18.0,Baylor,Big 12 Conference,,3,9,0.09,-4.95,-4.86,40.18,15.67,8.87,6.9,4.54,3.58,6.68,5.04
13,20.0,Boise State,Mountain West Conference,,8,6,4.22,0.58,4.8,45.22,10.57,9.93,6.11,6.24,2.97,7.69,4.65
14,21.0,Boston College,Atlantic Coast Conference,,7,6,2.02,-4.57,-2.55,40.77,14.23,8.31,6.14,6.01,4.03,6.9,5.04
15,22.0,Bowling Green,Mid-American Conference,,7,6,-0.73,-1.32,-2.04,38.38,13.53,8.12,5.89,5.1,3.1,6.4,4.44
16,26.0,Buffalo,Mid-American Conference,,3,9,-6.61,-5.71,-12.32,31.8,18.66,6.64,6.04,4.63,4.19,5.56,5.12
17,16.0,BYU,Big 12 Conference,,5,7,-1.28,0.36,-0.92,39.87,11.99,7.88,5.19,4.62,3.6,6.22,4.42
18,29.0,California,Pacific 12 Conference,,6,7,5.93,-4.07,1.86,47.33,14.53,8.6,5.52,5.69,2.48,7.05,3.96
19,33.0,Central Michigan,Mid-American Conference,,5,7,-2.6,-10.58,-13.18,35.01,22.25,8.06,7.73,5.22,3.87,6.36,5.72
20,35.0,Charlotte,American Athletic Conference,,3,9,-9.37,-3.54,-12.91,29.98,15.13,7.11,6.3,4.87,3.65,5.73,4.83
21,37.0,Cincinnati,Big 12 Conference,,3,9,-3.16,-2.85,-6.01,39.96,13.99,8.41,6.25,6.2,4.22,7.1,5.19
22,38.0,Clemson,Atlantic Coast Conference,20.0,9,4,4.19,5.62,9.82,47.38,3.87,8.16,3.73,5.77,2.34,6.82,3.11
23,39.0,Coastal Carolina,Sun Belt Conference,,8,5,-1.33,2.13,0.8,40.22,11.09,9.75,5.74,5.54,3.58,7.43,4.68
24,41.0,Colorado,Pacific 12 Conference,,4,8,6.37,-5.4,0.98,47.22,16.38,9.62,5.79,3.82,3.43,7.05,4.41
25,42.0,Colorado State,Mountain West Conference,,5,7,-1.47,-5.88,-7.35,36.94,17.18,8.62,6.04,4.07,3.49,6.69,4.69
26,229.0,UConn,Independent,,3,9,-9.56,-0.36,-9.92,30.53,15.77,7.25,6.81,5.12,3.09,6.06,4.9
27,51.0,Duke,Atlantic Coast Conference,,8,5,2.92,6.1,9.02,44.78,3.32,8.53,4.76,6.42,2.82,7.3,3.8
28,53.0,East Carolina,American Athletic Conference,,2,10,-9.5,0.24,-9.26,31.73,9.93,6.51,6.4,4.69,2.47,5.54,4.31
29,57.0,Eastern Michigan,Mid-American Conference,,6,7,-9.71,-4.44,-14.16,27.94,18.69,6.31,6.73,4.16,3.97,5.11,5.26
30,62.0,Florida,Southeastern Conference,,5,7,4.21,-0.91,3.31,46.49,8.98,10.04,6.14,5.66,3.49,7.67,4.73
31,61.0,Florida Atlantic,American Athletic Conference,,4,8,-5.1,-1.91,-7.01,35.97,14.11,7.54,6.24,4.87,2.95,6.21,4.52
32,63.0,Florida International,Conference USA,,4,8,-8.31,-6.99,-15.3,29.98,20.93,8.52,6.27,3.31,3.94,5.89,4.97
33,64.0,Florida State,Atlantic Coast Conference,6.0,13,1,6.24,10.28,16.51,51.34,1.83,9.82,4.09,5.88,2.66,7.71,3.38
34,66.0,Fresno State,Mountain West Conference,,9,4,0.29,-0.83,-0.54,40.4,12.64,8.12,5.43,4.36,3.24,6.47,4.33
35,70.0,Georgia,Southeastern Conference,4.0,13,1,8.61,11.39,20.0,57.42,-2.04,11.31,3.61,6.6,2.4,8.78,3.11
36,71.0,Georgia Southern,Sun Belt Conference,,6,7,0.99,-6.71,-5.71,41.84,19.44,8.14,6.61,5.21,3.58,6.87,5.05
37,72.0,Georgia State,Sun Belt Conference,,7,6,-0.35,-2.89,-3.24,38.91,16.23,8.61,6.78,5.85,3.1,6.92,4.97
38,73.0,Georgia Tech,Atlantic Coast Conference,,7,6,6.43,-2.73,3.71,48.07,12.31,9.46,5.52,6.73,4.02,7.86,4.72
39,77.0,Hawaii,Mountain West Conference,,5,8,-4.87,-5.91,-10.79,33.77,20.17,8.01,6.78,3.74,3.56,6.26,4.97
40,80.0,Houston,Big 12 Conference,,4,8,-0.29,-2.24,-2.54,40.65,13.32,8.73,6.37,5.05,2.96,6.9,4.48
41,84.0,Illinois,Big Ten Conference,,5,7,3.82,-4.24,-0.42,43.24,13.9,9.62,5.47,5.47,2.62,7.53,4.03
42,87.0,Indiana,Big Ten Conference,,3,9,0.3,-2.78,-2.49,41.12,13.77,8.98,6.22,5.01,3.05,6.79,4.46
43,89.0,Iowa,Big Ten Conference,24.0,10,4,-7.03,13.29,6.26,33.32,-2.0,6.71,3.49,4.88,1.76,5.6,2.69
44,90.0,Iowa State,Big 12 Conference,,7,6,1.84,5.36,7.2,43.29,4.88,10.01,5.01,5.22,2.61,7.5,3.83
45,92.0,Jacksonville State,Conference USA,,9,4,-0.6,1.28,0.68,40.37,11.15,7.72,5.8,5.26,2.24,6.2,3.8
46,93.0,James Madison,Sun Belt Conference,,11,2,3.99,4.54,8.53,45.94,7.12,10.0,5.51,5.01,1.51,7.37,3.83
47,94.0,Kansas,Big 12 Conference,23.0,9,4,8.71,0.34,9.06,50.83,9.25,11.65,5.64,6.38,3.21,8.37,4.32
48,95.0,Kansas State,Big 12 Conference,18.0,9,4,9.06,6.56,15.63,55.33,3.48,9.07,4.59,6.33,3.45,7.49,4.12
49,97.0,Kent State,Mid-American Conference,,1,11,-12.52,-9.82,-22.33,27.03,26.99,7.83,7.77,3.78,4.01,5.42,5.61
50,98.0,Kentucky,Southeastern Conference,,7,6,5.01,0.34,5.35,47.33,9.9,9.47,5.48,6.39,2.12,7.9,3.83
51,103.0,Liberty,Conference USA,25.0,13,1,9.23,-0.05,9.18,49.89,13.51,11.02,5.73,6.75,3.28,8.2,4.65
52,106.0,Louisiana,Sun Belt Conference,,6,7,3.65,-6.14,-2.49,42.4,17.64,8.68,6.3,5.93,2.8,7.11,4.29
53,107.0,Louisiana Tech,Conference USA,,3,9,-1.83,-9.46,-11.28,37.45,22.19,8.91,5.59,4.58,4.76,6.79,5.04
54,230.0,UL Monroe,Sun Belt Conference,,2,10,-8.99,-4.31,-13.3,29.76,20.02,7.24,6.66,5.36,3.04,6.19,4.75
55,108.0,Louisville,Atlantic Coast Conference,19.0,10,4,3.33,7.09,10.42,47.13,2.77,10.06,5.33,5.95,1.78,7.71,3.59
56,99.0,LSU,Southeastern Conference,12.0,10,3,16.27,-1.6,14.66,64.79,11.31,12.71,5.91,7.53,3.26,10.0,4.74
57,111.0,Marshall,Sun Belt Conference,,6,7,-2.58,-3.32,-5.91,36.4,15.34,8.27,5.49,5.07,3.2,6.52,4.34
58,112.0,Maryland,Big Ten Conference,,8,5,7.03,2.71,9.74,48.52,7.87,9.64,5.01,5.19,2.37,7.6,3.69
59,113.0,Massachusetts,Independent,,3,9,-1.35,-11.22,-12.57,37.05,26.67,8.56,7.39,5.32,4.38,6.8,5.75
60,115.0,Memphis,American Athletic Conference,,10,3,11.2,-4.9,6.29,51.9,16.18,9.47,6.49,5.55,3.56,7.59,5.09
61,119.0,Miami (FL),Atlantic Coast Conference,,7,6,4.64,3.33,7.97,48.16,6.75,9.52,5.48,6.36,2.07,7.87,3.82
62,118.0,Miami (OH),Mid-American Conference,,11,3,-4.53,6.28,1.75,35.31,6.37,8.94,5.8,5.18,2.74,6.53,4.2
63,121.0,Michigan,Big Ten Conference,1.0,15,0,8.53,16.48,25.01,55.91,-6.16,11.0,4.11,6.15,1.83,8.03,2.98
64,120.0,Michigan State,Big Ten Conference,,4,8,-4.57,3.02,-1.54,36.16,12.08,8.55,6.25,4.47,2.91,6.45,4.46
65,122.0,Middle Tennessee State,Conference USA,,4,8,-3.45,-2.15,-5.6,36.75,15.97,8.91,5.18,4.59,3.37,6.81,4.33
66,123.0,Minnesota,Big Ten Conference,,6,7,-0.43,0.43,-0.01,39.63,12.09,8.01,5.84,5.67,3.54,6.56,4.73
67,124.0,Mississippi State,Southeastern Conference,,5,7,-4.26,3.48,-0.78,37.88,7.6,7.82,4.89,5.71,2.65,6.63,3.64
68,127.0,Missouri,Southeastern Conference,8.0,11,2,8.13,8.23,16.36,49.69,0.45,11.0,4.44,5.7,2.43,7.92,3.39
69,135.0,Navy,American Athletic Conference,,5,7,-9.97,4.15,-5.82,29.27,9.08,7.53,6.31,5.12,2.61,5.82,4.47
70,136.0,Nebraska,Big Ten Conference,,5,7,-5.93,7.99,2.06,34.82,3.24,8.22,4.68,5.78,2.02,6.68,3.41
71,137.0,Nevada,Mountain West Conference,,2,10,-12.92,-2.88,-15.8,26.54,18.47,7.24,7.14,4.03,4.39,5.43,5.57
72,231.0,UNLV,Mountain West Conference,,9,5,7.07,-4.68,2.39,47.47,16.24,9.74,7.13,5.31,3.38,7.2,5.11
73,139.0,New Mexico,Mountain West Conference,,4,8,-2.6,-7.37,-9.97,38.07,22.56,8.57,7.51,5.97,4.13,7.09,5.61
74,140.0,New Mexico State,Conference USA,,10,5,-1.87,0.64,-1.23,37.0,11.7,9.45,6.44,6.2,3.77,7.6,5.09
75,146.0,North Carolina,Atlantic Coast Conference,,8,5,7.55,-1.54,6.01,50.75,11.68,10.31,5.69,6.27,2.94,8.13,4.28
76,134.0,NC State,Atlantic Coast Conference,21.0,9,4,1.77,5.65,7.41,43.25,3.77,8.65,4.94,5.62,2.56,6.89,3.92
77,149.0,North Texas,American Athletic Conference,,5,7,5.93,-13.1,-7.17,44.83,25.2,9.04,6.84,5.96,4.96,7.49,5.6
78,152.0,Northern Illinois,Mid-American Conference,,7,6,-4.52,-2.46,-6.97,34.19,14.18,7.51,5.83,5.8,3.51,6.5,4.64
79,155.0,Northwestern,Big Ten Conference,,8,5,0.65,1.88,2.53,40.86,8.99,8.9,5.54,4.4,2.81,6.41,4.02
80,156.0,Notre Dame,Independent,14.0,10,3,7.31,9.48,16.79,56.43,0.72,10.88,3.71,6.73,2.37,8.5,3.04
81,157.0,Ohio,Mid-American Conference,,10,3,-5.28,4.62,-0.66,33.64,8.18,7.8,5.86,4.59,2.64,5.96,4.3
82,158.0,Ohio State,Big Ten Conference,10.0,11,2,4.02,16.23,20.26,49.0,-6.57,10.77,3.31,5.64,2.16,8.07,2.71
83,159.0,Oklahoma,Big 12 Conference,15.0,10,3,11.51,4.35,15.86,59.1,4.69,10.93,4.65,5.68,2.42,8.07,3.64
84,160.0,Oklahoma State,Big 12 Conference,16.0,10,4,5.85,0.6,6.45,47.03,10.23,8.55,6.64,6.09,3.18,7.35,4.85
85,161.0,Old Dominion,Sun Belt Conference,,6,7,-2.68,-1.69,-4.37,34.88,12.94,8.26,5.64,5.14,2.3,6.42,3.9
86,162.0,Ole Miss,Southeastern Conference,9.0,11,2,8.19,5.3,13.49,53.0,4.32,11.4,5.23,5.66,2.59,8.06,3.88
87,163.0,Oregon,Pacific 12 Conference,6.0,12,2,8.1,11.85,19.94,59.15,-1.82,11.35,4.08,7.03,2.6,9.29,3.32
88,164.0,Oregon State,Pacific 12 Conference,,8,5,5.14,4.28,9.42,49.48,4.52,10.51,5.12,6.16,2.38,8.13,3.67
89,165.0,Penn State,Big Ten Conference,13.0,10,3,5.2,13.03,18.23,54.24,-2.47,8.73,4.74,6.1,1.23,7.25,2.81
90,167.0,Pittsburgh,Atlantic Coast Conference,,3,9,-4.47,1.19,-3.28,37.34,10.2,9.05,6.12,4.65,2.02,6.77,3.76
91,172.0,Purdue,Big Ten Conference,,4,8,3.7,-4.08,-0.38,44.48,15.31,8.84,6.32,6.04,2.75,7.26,4.48
92,174.0,Rice,American Athletic Conference,,6,7,1.1,-5.04,-3.94,42.55,15.71,8.7,6.24,4.98,3.26,6.88,4.62
93,177.0,Rutgers,Big Ten Conference,,7,6,0.5,4.43,4.93,42.68,5.43,8.1,4.62,5.9,2.94,6.72,3.7
94,182.0,Sam Houston,Conference USA,,3,9,-7.14,-3.02,-10.17,31.05,15.17,7.42,5.93,3.55,3.7,5.58,4.84
95,184.0,San Diego State,Mountain West Conference,,4,8,-5.83,-2.78,-8.61,33.73,14.89,7.95,5.87,5.14,4.06,6.26,5.08
96,186.0,San Jose State,Mountain West Conference,,7,6,0.11,1.07,1.18,43.3,10.43,8.82,4.59,6.41,3.35,7.49,3.98
97,179.0,SMU,American Athletic Conference,22.0,11,3,1.04,6.37,7.41,50.05,5.32,9.37,4.8,5.21,2.53,7.11,3.58
98,187.0,South Alabama,Sun Belt Conference,,7,6,-1.2,2.77,1.57,43.89,9.88,9.04,6.27,5.89,2.27,7.33,4.06
99,188.0,South Carolina,Southeastern Conference,,5,7,1.36,0.98,2.33,44.03,7.75,10.17,5.42,4.29,2.44,7.3,3.85
100,192.0,South Florida,American Athletic Conference,,7,6,2.65,-7.57,-4.92,43.66,20.79,8.98,7.01,5.06,3.25,6.74,5.16
101,196.0,Southern Miss,Sun Belt Conference,,3,9,-2.26,-6.3,-8.56,36.65,22.7,7.78,7.57,5.37,3.88,6.38,5.54
102,200.0,Stanford,Pacific 12 Conference,,3,9,-3.02,-1.74,-4.76,37.51,16.35,8.66,5.9,4.76,3.47,6.71,4.5
103,205.0,Syracuse,Atlantic Coast Conference,,6,7,-7.34,4.4,-2.93,37.1,10.2,8.5,5.55,5.29,2.55,6.47,4.08
104,208.0,Temple,American Athletic Conference,,3,9,-7.69,-6.71,-14.4,31.95,22.03,7.69,7.73,4.37,3.65,6.31,5.25
105,211.0,Tennessee,Southeastern Conference,17.0,9,4,3.89,6.81,10.69,49.81,3.79,9.77,4.97,6.93,2.18,8.15,3.55
106,214.0,Texas,Big 12 Conference,3.0,12,2,9.43,10.89,20.32,54.23,-1.29,10.51,4.94,6.21,1.64,8.18,3.57
107,212.0,Texas A&M,Southeastern Conference,,7,6,4.48,4.49,8.98,49.74,4.43,9.85,5.35,5.2,1.87,7.4,3.57
108,206.0,TCU,Big 12 Conference,,5,7,5.78,0.62,6.4,48.32,8.9,9.27,5.78,5.79,2.98,7.6,4.23
109,216.0,Texas State,Sun Belt Conference,,8,5,8.0,-8.35,-0.35,47.45,21.66,9.09,6.58,5.55,3.12,7.13,4.7
110,217.0,Texas Tech,Big 12 Conference,,7,6,2.9,4.04,6.94,44.39,7.11,7.98,4.69,5.61,2.9,6.71,3.8
111,219.0,Toledo,Mid-American Conference,,11,3,1.91,0.29,2.2,43.03,11.83,9.34,5.61,6.12,3.05,7.41,4.29
112,221.0,Troy,Sun Belt Conference,,11,3,1.77,8.52,10.29,41.5,3.07,9.38,5.16,5.42,1.91,7.27,3.57
113,222.0,Tulane,American Athletic Conference,,11,3,-1.07,5.06,3.99,37.79,5.46,9.27,5.41,5.06,2.46,6.8,4.0
114,223.0,Tulsa,American Athletic Conference,,4,8,-4.15,-4.08,-8.23,36.65,20.57,8.69,7.48,5.09,3.8,6.52,5.5
115,224.0,UAB,American Athletic Conference,,4,8,1.65,-11.4,-9.75,41.2,23.08,9.17,6.05,5.53,4.15,7.32,5.01
116,227.0,UCF,Big 12 Conference,,6,7,1.57,0.77,2.34,45.52,8.54,10.5,5.21,6.47,3.51,8.1,4.29
117,228.0,UCLA,Pacific 12 Conference,,8,5,-2.38,8.76,6.37,41.12,1.87,8.95,4.41,5.99,1.65,7.28,3.08
118,232.0,USC,Pacific 12 Conference,,8,5,16.66,-7.07,9.59,61.0,16.01,11.66,5.62,6.29,3.48,9.18,4.35
119,238.0,Utah,Pacific 12 Conference,,8,5,-3.28,10.25,6.97,39.81,-0.15,8.43,4.62,5.47,1.97,6.62,3.36
120,236.0,Utah State,Mountain West Conference,,6,7,6.02,-11.99,-5.97,46.24,24.56,8.88,5.5,5.89,4.14,7.19,4.89
121,234.0,UTEP,Conference USA,,3,9,-7.53,-3.56,-11.1,31.32,15.96,9.29,5.46,4.6,4.73,6.59,4.94
122,235.0,UTSA,American Athletic Conference,,9,4,2.68,0.74,3.42,43.31,11.09,8.38,5.48,5.33,2.7,6.74,4.09
123,241.0,Vanderbilt,Southeastern Conference,,2,10,-1.83,-7.38,-9.2,40.36,18.31,8.55,5.61,4.64,3.91,6.65,4.85
124,243.0,Virginia,Atlantic Coast Conference,,3,9,0.22,-4.01,-3.78,40.84,15.45,9.47,5.23,4.57,3.42,6.73,4.31
125,244.0,Virginia Tech,Atlantic Coast Conference,,7,6,4.05,1.85,5.9,46.77,9.79,9.19,4.82,6.48,3.07,7.56,3.94
126,246.0,Wake Forest,Atlantic Coast Conference,,4,8,-2.48,-0.84,-3.32,37.51,11.05,9.55,6.34,4.69,2.83,6.65,4.47
127,247.0,Washington,Pacific 12 Conference,2.0,14,1,13.35,4.54,17.89,55.44,3.83,11.0,4.14,5.85,3.24,8.75,3.76
128,248.0,Washington State,Pacific 12 Conference,,5,7,4.87,-0.64,4.23,48.48,10.9,9.94,5.24,4.28,3.16,7.56,3.99
129,250.0,West Virginia,Big 12 Conference,,9,4,5.49,1.54,7.03,47.41,8.75,9.59,5.76,6.46,3.02,7.64,4.34
130,253.0,Western Kentucky,Conference USA,,8,5,3.86,-3.77,0.09,43.11,17.79,8.72,5.35,4.74,4.16,7.0,4.73
131,254.0,Western Michigan,Mid-American Conference,,4,8,-1.19,-10.27,-11.46,37.84,24.21,7.9,7.39,5.06,3.75,6.27,5.59
132,256.0,Wisconsin,Big Ten Conference,,7,6,-0.34,6.16,5.82,40.64,4.15,8.1,4.95,5.96,2.68,6.96,3.75
133,258.0,Wyoming,Mountain West Conference,,9,4,-1.87,3.05,1.18,37.81,8.83,8.39,4.76,5.33,3.2,6.5,4.09
